,Corby,Ealing,Enfield,Greenwich,Southend,Southwark,Vale Royal,Wokingham
2014-07-01,1.3,1.046,1.14,1.154,1.526,0.934,1.242,1.229
2014-08-01,1.297,1.044,1.131,1.148,1.524,0.928,1.24,1.229
2014-09-01,1.231,1.046,1.125,1.143,1.516,0.923,1.241,1.228
2014-10-01,1.261,1.044,1.12,1.136,1.51,0.916,1.237,1.23
2014-11-01,1.249,1.043,1.115,1.128,1.497,0.912,1.227,1.227
2014-12-01,1.181,1.062,1.117,1.129,1.503,0.922,1.235,1.242
2015-01-01,1.22,1.062,1.102,1.131,1.494,0.921,1.243,1.256
2015-02-01,1.204,1.059,1.089,1.127,1.482,0.917,1.247,1.258
2015-03-01,1.133,1.059,1.082,1.12,1.474,0.912,1.248,1.252
2015-04-01,1.162,1.049,1.07,1.107,1.457,0.905,1.24,1.245
2015-05-01,1.143,1.034,1.056,1.09,1.431,0.894,1.223,1.231
2015-06-01,1.078,1.015,1.045,1.074,1.415,0.887,1.213,1.219
2015-07-01,1.106,1.004,1.036,1.064,1.399,0.88,1.203,1.21
2015-08-01,1.085,0.995,1.031,1.059,1.385,0.877,1.197,1.204
2015-09-01,1.074,0.978,1.019,1.045,1.371,0.866,1.184,1.194
2015-10-01,1.071,0.964,1.006,1.04,1.354,0.858,1.17,1.185
2015-11-01,1.061,0.951,0.995,1.032,1.335,0.851,1.165,1.179
2015-12-01,1.049,0.909,0.965,1.002,1.307,0.822,1.136,1.145
2016-01-01,1.039,0.892,0.954,0.987,1.297,0.809,1.109,1.123
2016-02-01,1.038,0.885,0.955,0.986,1.301,0.809,1.103,1.118
2016-03-01,1.027,0.871,0.945,0.978,1.304,0.799,1.1,1.113
2016-04-01,1.026,0.868,0.943,0.978,1.304,0.8,1.098,1.116
2016-05-01,1.021,0.865,0.941,0.975,1.298,0.798,1.102,1.114
2016-06-01,1.011,0.863,0.932,0.972,1.289,0.789,1.096,1.107
2016-07-01,0.999,0.854,0.919,0.96,1.259,0.782,1.083,1.069
2016-08-01,1.002,0.868,0.933,0.974,1.277,0.787,1.095,1.076
2016-09-01,1.004,0.864,0.926,0.969,1.264,0.78,1.09,1.07
2016-10-01,1.015,0.85,0.908,0.948,1.229,0.774,1.08,1.028
2016-11-01,1.032,0.862,0.924,0.962,1.251,0.778,1.095,1.034
2016-12-01,1.033,0.861,0.92,0.961,1.248,0.777,1.09,1.03
2017-01-01,1.045,0.86,0.915,0.953,1.221,0.778,1.086,0.989
2017-02-01,1.049,0.86,0.92,0.952,1.212,0.772,1.081,0.983
2017-03-01,1.053,0.848,0.911,0.936,1.182,0.761,1.055,0.965
2017-04-01,1.045,0.826,0.888,0.911,1.137,0.746,1.024,0.914
2017-05-01,1.054,0.837,0.901,0.925,1.15,0.751,1.025,0.916
2017-06-01,1.053,0.83,0.893,0.915,1.139,0.744,1.014,0.911
2017-07-01,1.059,0.825,0.888,0.907,1.133,0.742,1.005,0.907
2017-08-01,1.061,0.824,0.892,0.906,1.132,0.741,1.002,0.909
2017-09-01,1.05,0.82,0.887,0.9,1.133,0.735,0.989,0.903
2017-10-01,1.041,0.819,0.885,0.899,1.136,0.732,0.981,0.902
2017-11-01,1.033,0.815,0.878,0.89,1.127,0.725,0.97,0.897
2017-12-01,1.02,0.808,0.866,0.876,1.111,0.712,0.954,0.888
