CCG,Region,AreaCode,Value,Count,Denominator
"Airedale, Wharfdale And Craven",Yorkshire and Humber,E38000001,0.9999617190000001,92056.0,92059.52344
Ashford,South East,E38000002,1.112659514,82553.0,74194.30469
Aylesbury Vale,South Central,E38000003,1.026128262,122348.0,119232.6563
Barking And Dagenham,London,E38000004,0.960762069,109061.0,113515.0938
Barnet,London,E38000005,0.812227413,182901.0,225184.4688
Barnsley,Yorkshire and Humber,E38000006,1.126366228,163504.0,145160.6094
Basildon And Brentwood,East,E38000007,1.175368369,183028.0,155719.6875
Bassetlaw,Yorkshire and Humber,E38000008,1.1028192190000001,73879.0,66991.03125
Bath And North East Somerset,South Central,E38000009,0.8569943459999999,99018.0,115541.0156
Bedfordshire,Central Midlands,E38000010,1.045077935,275404.0,263524.8438
Bexley,London,E38000011,1.155568242,154685.0,133860.5469
Birmingham Crosscity,West Midlands,E38000012,1.0312486140000001,402198.0,390010.7188
Birmingham South And Central,West Midlands,E38000013,1.154843181,194049.0,168030.6094
Blackburn With Darwen,Lancashire and South Cumbria,E38000014,1.159092158,108128.0,93286.80469
Blackpool,Lancashire and South Cumbria,E38000015,1.247343361,123320.0,98866.125
Bolton,Greater Manchester,E38000016,1.197974801,201556.0,168247.2813
Bracknell And Ascot,South Central,E38000017,0.95121336,72908.0,76647.36719
Bradford City,Yorkshire and Humber,E38000018,1.0663838540000001,69504.0,65177.28125
Bradford Districts,Yorkshire and Humber,E38000019,1.11727044,204246.0,182808.0156
Brent,London,E38000020,0.76147376,144457.0,189707.125
Brighton And Hove,South East,E38000021,0.818809226,135281.0,165216.75
Bristol,South West,E38000022,0.9017952379999999,241667.0,267984.3438
Bromley,London,E38000023,0.856181592,166783.0,194798.625
Bury,Greater Manchester,E38000024,1.116098017,126669.0,113492.7188
Calderdale,Yorkshire and Humber,E38000025,1.180500388,144429.0,122345.5781
Cambridgeshire and Peterborough,East,E38000026,1.0736602990000002,558754.0,520419.7188
Camden,London,E38000027,0.583014295,81542.0,139862.7813
Cannock Chase,North Midlands,E38000028,1.205382019,90760.0,75295.63281
Canterbury And Coastal,South East,E38000029,1.1302191320000001,144624.0,127961.0234
Castle Point And Rochford,East,E38000030,1.067141518,116313.0,108994.9141
Central London (Westminster),London,E38000031,0.666619316,73595.0,110400.3438
Chiltern,South Central,E38000033,1.039185524,200570.0,193006.9219
Chorley And South Ribble,Lancashire and South Cumbria,E38000034,1.023000747,105918.0,103536.5781
City And Hackney,London,E38000035,0.6877782790000001,106774.0,155244.7969
Corby,Central Midlands,E38000037,1.020356238,42284.0,41440.42969
Coventry And Rugby,West Midlands,E38000038,0.965159729,263112.0,272609.8125
Crawley,South East,E38000039,0.9223596159999999,65116.0,70597.19531
Croydon,London,E38000040,0.880257264,190990.0,216970.6563
Darlington,Cumbria and North East,E38000042,1.224533319,75185.0,61398.90234
"Dartford, Gravesham And Swanley",South East,E38000043,1.110765129,164671.0,148250.0625
Doncaster,Yorkshire and Humber,E38000044,1.159162372,207848.0,179308.7813
Dorset,Wessex,E38000045,0.980591655,464695.0,473892.4688
Dudley,West Midlands,E38000046,1.094579369,200277.0,182971.6563
"Durham Dales, Easington And Sedgefield",Cumbria and North East,E38000047,1.2835553290000001,214149.0,166840.4844
Ealing,London,E38000048,0.80787079,178271.0,220667.7188
East And North Hertfordshire,Central Midlands,E38000049,1.092283025,360571.0,330107.6563
East Lancashire,Lancashire and South Cumbria,E38000050,1.115214795,236296.0,211883.8438
East Leicestershire And Rutland,Central Midlands,E38000051,0.998389065,190795.0,191102.8594
East Riding Of Yorkshire,Yorkshire and Humber,E38000052,1.091485292,197914.0,181325.3906
East Staffordshire,North Midlands,E38000053,1.1560221609999999,91594.0,79232.04688
East Surrey,South East,E38000054,0.964142948,98125.0,101774.3281
"Eastbourne, Hailsham And Seaford",South East,E38000055,1.0091919,120231.0,119135.9141
Eastern Cheshire,Cheshire and Merseyside,E38000056,0.98298277,120187.0,122267.6563
Enfield,London,E38000057,0.8661251659999999,155235.0,179229.2969
Erewash,North Midlands,E38000058,0.852259427,47266.0,55459.640629999994
Fareham And Gosport,Wessex,E38000059,0.9100915190000001,109054.0,119827.5078
Fylde & Wyre,Lancashire and South Cumbria,E38000060,1.057107642,97448.0,92183.60938
Gloucestershire,South Central,E38000062,0.977661371,361971.0,370241.6875
Great Yarmouth And Waveney,East,E38000063,1.105767936,156721.0,141730.4688
Greater Huddersfield,Yorkshire and Humber,E38000064,1.151510984,157440.0,136724.7031
Greater Preston,Lancashire and South Cumbria,E38000065,1.1277523040000001,132884.0,117830.8359
Greenwich,London,E38000066,0.87627387,133262.0,152078.0313
Halton,Cheshire and Merseyside,E38000068,1.267390996,91497.0,72193.1875
"Hambleton, Richmondshire And Whitby",Yorkshire and Humber,E38000069,0.958037868,83161.0,86803.46094
Hammersmith And Fulham,London,E38000070,0.79204163,85877.0,108424.8594
Hardwick,North Midlands,E38000071,1.154135376,68957.0,59747.75781
Haringey,London,E38000072,0.648490518,104705.0,161459.5625
Harrogate And Rural District,Yorkshire and Humber,E38000073,0.847720355,80351.0,94784.79688
Harrow,London,E38000074,1.00934957,143660.0,142329.2813
Hartlepool And Stockton-On-Tees,Cumbria and North East,E38000075,1.141068816,189380.0,165967.2031
Hastings And Rother,South East,E38000076,1.081622973,122382.0,113146.6328
Havering,London,E38000077,1.026265413,160306.0,156203.25
Herefordshire,West Midlands,E38000078,1.001515254,111237.0,111068.7031
Herts Valleys,Central Midlands,E38000079,1.004169494,354753.0,353280.0
"Heywood, Middleton And Rochdale",Greater Manchester,E38000080,1.219801694,153890.0,126159.8516
High Weald Lewes Havens,South East,E38000081,0.9962311979999999,99692.0,100069.1406
Hillingdon,London,E38000082,0.9070246670000001,148987.0,164259.0313
Horsham And Mid Sussex,South East,E38000083,0.8481536059999999,115945.0,136702.8281
Hounslow,London,E38000084,0.8028430190000001,127844.0,159239.0938
Hull,Yorkshire and Humber,E38000085,1.162821144,187381.0,161143.4375
Ipswich And East Suffolk,East,E38000086,1.051727355,246929.0,234784.2344
Isle Of Wight,Wessex,E38000087,1.0363054870000001,91228.0,88031.95313
Islington,London,E38000088,0.761077538,94881.0,124666.6641
Kernow,South West,E38000089,1.015188068,345152.0,339988.25
Kingston,London,E38000090,0.871177256,95467.0,109583.8984
Knowsley,Cheshire and Merseyside,E38000091,1.364686847,123360.0,90394.36719
Lambeth,London,E38000092,0.6904675659999999,137499.0,199138.9688
Leeds North,Yorkshire and Humber,E38000094,0.987584844,116865.0,118334.1406
Leeds South And East,Yorkshire and Humber,E38000095,1.096090853,164983.0,150519.4531
Leeds West,Yorkshire and Humber,E38000096,0.948886201,190583.0,200849.1563
Leicester City,Central Midlands,E38000097,0.9964807929999999,205860.0,206587.0156
Lewisham,London,E38000098,0.857382968,143451.0,167312.625
Lincolnshire East,Central Midlands,E38000099,1.190500438,178170.0,149659.75
Lincolnshire West,Central Midlands,E38000100,1.062320143,144392.0,135921.3594
Liverpool,Cheshire and Merseyside,E38000101,1.0956497490000001,309760.0,282718.0938
Luton,Central Midlands,E38000102,1.152237743,138832.0,120489.0234
Mansfield And Ashfield,North Midlands,E38000103,1.2327474059999999,133727.0,108478.8359
Medway,South East,E38000104,0.966169059,158684.0,164240.4063
Merton,London,E38000105,0.8473497179999999,99683.0,117640.9219
Mid Essex,East,E38000106,1.09966433,243846.0,221745.8438
Milton Keynes,Central Midlands,E38000107,1.1075124140000001,170101.0,153588.3438
Nene,Central Midlands,E38000108,1.115366191,416753.0,373646.7813
Newark & Sherwood,North Midlands,E38000109,1.055337995,81536.0,77260.55469
Newbury And District,South Central,E38000110,0.8139306159999999,53699.0,65974.91406
Newham,London,E38000113,0.909375235,172908.0,190139.3281
North & West Reading,South Central,E38000114,0.9113040859999999,55984.0,61432.84375
North Derbyshire,North Midlands,E38000115,1.128334403,192818.0,170887.2813
North Durham,Cumbria and North East,E38000116,1.161694318,168423.0,144980.4844
North East Essex,East,E38000117,1.262913525,257176.0,203637.0625
North East Hampshire And Farnham,Wessex,E38000118,0.986617237,124705.0,126396.5313
North East Lincolnshire,Yorkshire and Humber,E38000119,1.100801408,105962.0,96258.96094
North Hampshire,Wessex,E38000120,0.924901977,115885.0,125294.3594
North Kirklees,Yorkshire and Humber,E38000121,1.187107712,124551.0,104919.7109
North Lincolnshire,Yorkshire and Humber,E38000122,1.139997482,113074.0,99187.9375
North Norfolk,East,E38000124,1.072679371,116241.0,108365.0938
North Somerset,South West,E38000125,0.9648970509999999,124485.0,129013.7656
North Staffordshire,North Midlands,E38000126,1.135158032,143106.0,126067.0313
North Tyneside,Cumbria and North East,E38000127,1.1934077440000002,148784.0,124671.5547
North West Surrey,South East,E38000128,0.965778336,199174.0,206231.5938
"Northern, Eastern And Western Devon",South West,E38000129,1.0115512009999998,549267.0,542994.75
Northumberland,Cumbria and North East,E38000130,1.153059632,221288.0,191913.75
Nottingham City,North Midlands,E38000132,0.95356372,182389.0,191270.9063
Nottingham North And East,North Midlands,E38000133,1.012249798,88360.0,87290.70313
Nottingham West,North Midlands,E38000134,0.8913066540000001,48158.0,54030.78516
Oldham,Greater Manchester,E38000135,1.35390237,186384.0,137664.2813
Oxfordshire,South Central,E38000136,0.844287604,341237.0,404171.5
Portsmouth,Wessex,E38000137,1.070485651,130586.0,121987.625
Redbridge,London,E38000138,0.994308069,163322.0,164256.9375
Redditch And Bromsgrove,West Midlands,E38000139,1.217388958,122042.0,100248.9766
Richmond,London,E38000140,0.8170719890000001,94780.0,115999.5703
Rotherham,Yorkshire and Humber,E38000141,1.188794345,175526.0,147650.4375
Rushcliffe,North Midlands,E38000142,0.877536669,63840.0,72749.09375
Salford,Greater Manchester,E38000143,1.187293708,169600.0,142845.875
Sandwell And West Birmingham,West Midlands,E38000144,1.060532868,315962.0,297927.5938
Scarborough And Ryedale,Yorkshire and Humber,E38000145,1.172890127,83598.0,71275.21875
Sheffield,Yorkshire and Humber,E38000146,1.080368519,351119.0,324999.2813
Shropshire,North Midlands,E38000147,1.004869252,184280.0,183387.0469
Slough,South Central,E38000148,1.1671532390000001,93906.0,80457.30469
Solihull,West Midlands,E38000149,0.9664559070000001,137260.0,142024.0625
Somerset,South West,E38000150,0.952963054,321596.0,337469.5313
South Cheshire,Cheshire and Merseyside,E38000151,1.038602248,108628.0,104590.5703
South Devon And Torbay,South West,E38000152,1.044585571,184295.0,176428.8281
South East Staffs And Seisdon Peninsular,North Midlands,E38000153,1.053009093,131897.0,125257.2266
South Eastern Hampshire,Wessex,E38000154,0.905138016,114239.0,126211.6953
South Gloucestershire,South West,E38000155,0.9029439090000001,136410.0,151072.5
South Kent Coast,South East,E38000156,1.119513065,135498.0,121032.9766
South Lincolnshire,Central Midlands,E38000157,1.188182652,115978.0,97609.57031
South Reading,South Central,E38000160,0.9408999379999999,68726.0,73042.83594
South Sefton,Cheshire and Merseyside,E38000161,1.194716215,105209.0,88061.91406
South Tees,Cumbria and North East,E38000162,1.2877389190000001,212817.0,165264.0938
South Tyneside,Cumbria and North East,E38000163,1.180012256,104655.0,88689.75781
South Warwickshire,West Midlands,E38000164,1.008516997,164120.0,162734.0
South West Lincolnshire,Central Midlands,E38000165,1.0540837790000002,82040.0,77830.625
South Worcestershire,West Midlands,E38000166,1.0961492659999998,196598.0,179353.3125
Southampton,Wessex,E38000167,0.940146342,140181.0,149105.5156
Southend,East,E38000168,1.110766023,117663.0,105929.6016
Southern Derbyshire,North Midlands,E38000169,0.8762071579999999,269237.0,307275.5
Southport And Formby,Cheshire and Merseyside,E38000170,1.081598133,81574.0,75419.875
Southwark,London,E38000171,0.7116149509999999,115156.0,161823.4688
St Helens,Cheshire and Merseyside,E38000172,1.37223655,154263.0,112417.2031
Stafford And Surrounds,North Midlands,E38000173,1.137006372,98181.0,86350.4375
Stockport,Greater Manchester,E38000174,1.16322732,204796.0,176058.4531
Stoke On Trent,North Midlands,E38000175,1.139871329,181942.0,159616.2656
Sunderland,Cumbria and North East,E38000176,1.288117051,206078.0,159983.9063
Surrey Downs,South East,E38000177,0.9861686829999999,172727.0,175149.5469
Surrey Heath,South East,E38000178,0.9678277670000001,52530.0,54276.1875
Sutton,London,E38000179,1.05733113,111573.0,105523.2344
Swale,South East,E38000180,1.195387453,75076.0,62804.74219
Swindon,South Central,E38000181,0.995889768,127585.0,128111.5703
Tameside And Glossop,Greater Manchester,E38000182,1.081132293,147941.0,136838.9375
Telford And Wrekin,North Midlands,E38000183,0.949066505,96360.0,101531.3438
Thanet,South East,E38000184,1.111408025,94859.0,85350.28906
Thurrock,East,E38000185,1.113980427,104870.0,94139.89844
Tower Hamlets,London,E38000186,0.8292450459999999,124871.0,150583.9531
Trafford,Greater Manchester,E38000187,1.0626543309999998,142031.0,133656.8281
Vale Of York,Yorkshire and Humber,E38000188,0.935648039,187933.0,200858.6406
Vale Royal,Cheshire and Merseyside,E38000189,0.954415604,56721.0,59430.08594
Wakefield,Yorkshire and Humber,E38000190,1.157350063,239614.0,207036.75
Walsall,West Midlands,E38000191,1.198525637,188988.0,157683.7344
Waltham Forest,London,E38000192,0.875555485,138087.0,157713.5938
Wandsworth,London,E38000193,0.842685372,168049.0,199420.8125
Warrington,Cheshire and Merseyside,E38000194,1.022060111,123638.0,120969.3984
Warwickshire North,West Midlands,E38000195,1.116931498,120739.0,108098.8438
West Cheshire,Cheshire and Merseyside,E38000196,1.0136051179999999,152198.0,150155.125
West Essex,East,E38000197,1.141919941,198819.0,174109.4063
West Hampshire,Wessex,E38000198,0.9459489729999999,311623.0,329428.9688
West Kent,South East,E38000199,1.080830142,299642.0,277233.1875
West Lancashire,Lancashire and South Cumbria,E38000200,0.95502612,62392.0,65330.14844
West Leicestershire,Central Midlands,E38000201,1.018184975,221866.0,217903.4375
West London (K&C & QPP),London,E38000202,0.6592343,84153.0,127652.6406
West Norfolk,East,E38000203,1.176783293,124272.0,105603.1328
West Suffolk,East,E38000204,1.125857532,163911.0,145587.6875
Wigan Borough,Greater Manchester,E38000205,1.113774389,203698.0,182889.8281
Wiltshire,South Central,E38000206,1.02202177,291086.0,284813.9063
"Windsor, Ascot And Maidenhead",South Central,E38000207,1.023936734,88161.0,86100.04688
Wirral,Cheshire and Merseyside,E38000208,1.141973197,221088.0,193601.7344
Wokingham,South Central,E38000209,0.887632117,80715.0,90932.94531
