Time period,Wokingham,Southend,Corby,Ealing,Enfield,Greenwich,Southwark,Waltham Forest,Vale Royal,Barking And Dagenham
2014-07-01,1.23,1.53,1.3,1.05,1.14,1.15,0.93,1.12,1.24,1.21
2014-08-01,1.23,1.52,1.3,1.04,1.13,1.15,0.93,1.12,1.24,1.21
2014-09-01,1.23,1.52,1.23,1.05,1.12,1.14,0.92,1.12,1.24,1.21
2014-10-01,1.23,1.51,1.26,1.04,1.12,1.14,0.92,1.11,1.24,1.22
2014-11-01,1.23,1.5,1.25,1.04,1.12,1.13,0.91,1.1,1.23,1.23
2014-12-01,1.24,1.5,1.18,1.06,1.12,1.13,0.92,1.11,1.24,1.24
2015-01-01,1.26,1.49,1.22,1.06,1.1,1.13,0.92,1.1,1.24,1.24
2015-02-01,1.26,1.48,1.2,1.06,1.09,1.13,0.92,1.09,1.25,1.23
2015-03-01,1.25,1.47,1.13,1.06,1.08,1.12,0.91,1.08,1.25,1.23
2015-04-01,1.25,1.46,1.16,1.05,1.07,1.11,0.9,1.07,1.24,1.22
2015-05-01,1.23,1.43,1.14,1.03,1.06,1.09,0.89,1.05,1.22,1.21
2015-06-01,1.22,1.42,1.08,1.01,1.04,1.07,0.89,1.03,1.21,1.19
2015-07-01,1.21,1.4,1.11,1.0,1.04,1.06,0.88,1.02,1.2,1.18
2015-08-01,1.2,1.38,1.08,1.0,1.03,1.06,0.88,1.02,1.2,1.17
2015-09-01,1.19,1.37,1.07,0.98,1.02,1.04,0.87,1.01,1.18,1.16
2015-10-01,1.18,1.35,1.07,0.96,1.01,1.04,0.86,1.0,1.17,1.14
2015-11-01,1.18,1.34,1.06,0.95,1.0,1.03,0.85,0.99,1.16,1.12
2015-12-01,1.14,1.31,1.05,0.91,0.96,1.0,0.82,0.96,1.14,1.08
2016-01-01,1.12,1.3,1.04,0.89,0.95,0.99,0.81,0.95,1.11,1.06
2016-02-01,1.12,1.3,1.04,0.88,0.96,0.99,0.81,0.95,1.1,1.07
2016-03-01,1.11,1.3,1.03,0.87,0.94,0.98,0.8,0.95,1.1,1.05
2016-04-01,1.12,1.3,1.03,0.87,0.94,0.98,0.8,0.95,1.1,1.06
2016-05-01,1.11,1.3,1.02,0.86,0.94,0.98,0.8,0.94,1.1,1.06
2016-06-01,1.11,1.29,1.01,0.86,0.93,0.97,0.79,0.94,1.1,1.06
2016-07-01,1.07,1.26,1.0,0.85,0.92,0.96,0.78,0.93,1.08,1.03
2016-08-01,1.08,1.28,1.0,0.87,0.93,0.97,0.79,0.94,1.1,1.06
2016-09-01,1.07,1.26,1.0,0.86,0.93,0.97,0.78,0.94,1.09,1.05
2016-10-01,1.03,1.23,1.01,0.85,0.91,0.95,0.77,0.92,1.08,1.02
2016-11-01,1.03,1.25,1.03,0.86,0.92,0.96,0.78,0.93,1.1,1.05
2016-12-01,1.03,1.25,1.03,0.86,0.92,0.96,0.78,0.93,1.09,1.05
2017-01-01,0.99,1.22,1.04,0.86,0.92,0.95,0.78,0.92,1.09,1.03
2017-02-01,0.98,1.21,1.05,0.86,0.92,0.95,0.77,0.93,1.08,1.04
2017-03-01,0.96,1.18,1.05,0.85,0.91,0.94,0.76,0.92,1.06,1.03
2017-04-01,0.91,1.14,1.04,0.83,0.89,0.91,0.75,0.89,1.02,0.99
2017-05-01,0.92,1.15,1.05,0.84,0.9,0.92,0.75,0.91,1.02,1.01
2017-06-01,0.91,1.14,1.05,0.83,0.89,0.92,0.74,0.9,1.01,1.0
2017-07-01,0.91,1.13,1.06,0.82,0.89,0.91,0.74,0.9,1.0,0.99
2017-08-01,0.91,1.13,1.06,0.82,0.89,0.91,0.74,0.9,1.0,0.99
2017-09-01,0.9,1.13,1.05,0.82,0.89,0.9,0.74,0.89,0.99,0.99
