CCG,Area Code,Region,Value,Denominator,Count
"Airedale, Wharfdale And Craven",E38000001,Yorkshire and Humber,1.02064354,91957.66819,93856.0
Ashford,E38000002,South East,1.125785383,73879.09031,83172.0
Aylesbury Vale,E38000003,South Central,1.0391186479999999,118673.6473,123316.0
Barking And Dagenham,E38000004,London,0.9897426229999999,112843.4781,111686.0
Barnet,E38000005,London,0.8304194559999999,223991.6209,186007.0
Barnsley,E38000006,Yorkshire and Humber,1.147149328,144921.8475,166247.0
Basildon And Brentwood,E38000007,East,1.203872998,155514.7431,187220.0
Bassetlaw,E38000008,Yorkshire and Humber,1.116934135,66749.68349,74555.0
Bath And North East Somerset,E38000009,South Central,0.862740693,115112.2241,99312.0
Bedfordshire,E38000010,Central Midlands,1.0630774090000001,262590.4733,279154.0
Bexley,E38000011,London,1.168808436,133432.473,155957.0
Birmingham Crosscity,E38000012,West Midlands,1.042387849,389158.412,405654.0
Birmingham South And Central,E38000013,West Midlands,1.183599552,164804.895,195063.0
Blackburn With Darwen,E38000014,Lancashire and South Cumbria,1.16405157,93080.06861,108350.0
Blackpool,E38000015,Lancashire and South Cumbria,1.285551981,98765.3567,126968.0
Bolton,E38000016,Greater Manchester,1.211593726,167745.1737,203239.0
Bracknell And Ascot,E38000017,South Central,0.980244344,76415.64115,74906.0
Bradford City,E38000018,Yorkshire and Humber,1.117242045,63600.363320000004,71057.0
Bradford Districts,E38000019,Yorkshire and Humber,1.134870565,183761.0442,208545.0
Brent,E38000020,London,0.772555387,188370.9602,145527.0
Brighton And Hove,E38000021,South East,0.8306335140000001,165045.1104,137092.0
Bristol,E38000022,South West,0.9209803759999999,266742.9258,245665.0
Bromley,E38000023,London,0.86715132,194290.19600000003,168479.0
Bury,E38000024,Greater Manchester,1.127675339,113218.7569,127674.0
Calderdale,E38000025,Yorkshire and Humber,1.210212595,122178.5334,147862.0
Cambridgeshire and Peterborough,E38000026,East,1.089246441,518230.7502,564481.0
Camden,E38000027,London,0.597409814,138578.2391,82788.0
Cannock Chase,E38000028,North Midlands,1.208969815,75149.10536,90853.0
Canterbury And Coastal,E38000029,South East,1.154751555,127692.4022,147453.0
Castle Point And Rochford,E38000030,East,1.0978196470000001,108882.1832,119533.0
Central London (Westminster),E38000031,London,0.686194162,108937.097,74752.0
Chiltern,E38000033,South Central,1.046663549,192641.6567,201631.0
Chorley And South Ribble,E38000034,Lancashire and South Cumbria,1.052009919,103157.7726,108523.0
City And Hackney,E38000035,London,0.6880272559999999,154246.7964,106126.0
Corby,E38000037,Central Midlands,1.050242039,41220.9742,43292.0
Coventry And Rugby,E38000038,West Midlands,0.993535011,271289.8861,269536.0
Crawley,E38000039,South East,0.948149166,70430.90099,66779.0
Croydon,E38000040,London,0.8975189370000001,216224.9642,194066.0
Darlington,E38000042,Cumbria and North East,1.223487878,61293.61912,74992.0
"Dartford, Gravesham And Swanley",E38000043,South East,1.118754036,147782.2602,165332.0
Doncaster,E38000044,Yorkshire and Humber,1.178404451,178933.4721,210856.0
Dorset,E38000045,Wessex,0.9894331559999999,472881.869,467885.0
Dudley,E38000046,West Midlands,1.123579575,182673.31,205248.0
"Durham Dales, Easington And Sedgefield",E38000047,Cumbria and North East,1.290258113,166594.5735,214950.0
Ealing,E38000048,London,0.819894879,219626.9357,180071.0
East And North Hertfordshire,E38000049,Central Midlands,1.121508177,329511.6412,369550.0
East Lancashire,E38000050,Lancashire and South Cumbria,1.129607459,211361.0336,238755.0
East Leicestershire And Rutland,E38000051,Central Midlands,1.020141167,190587.3484,194426.0
East Riding Of Yorkshire,E38000052,Yorkshire and Humber,1.11095156,181008.7922,201092.0
East Staffordshire,E38000053,North Midlands,1.182976096,78962.71135,93411.0
East Surrey,E38000054,South East,0.9786232559999999,101611.1148,99439.0
"Eastbourne, Hailsham And Seaford",E38000055,South East,1.009114578,118920.0935,120004.0
Eastern Cheshire,E38000056,Cheshire and Merseyside,1.001156083,122052.8967,122194.0
Enfield,E38000057,London,0.887288485,178424.4951,158314.0
Erewash,E38000058,North Midlands,0.88019757,55440.961970000004,48799.0
Fareham And Gosport,E38000059,Wessex,0.9298643209999999,119515.2858,111133.0
Fylde & Wyre,E38000060,Lancashire and South Cumbria,1.05178188,92054.25748,96821.0
Gloucestershire,E38000062,South Central,1.000339795,368752.6998,368878.0
Great Yarmouth And Waveney,E38000063,East,1.132477055,141459.8197,160200.0
Greater Huddersfield,E38000064,Yorkshire and Humber,1.172990273,136348.1043,159935.0
Greater Preston,E38000065,Lancashire and South Cumbria,1.159323345,117478.0105,136195.0
Greenwich,E38000066,London,0.899907281,151256.6937,136117.0
Halton,E38000068,Cheshire and Merseyside,1.280033173,72073.91334,92257.0
"Hambleton, Richmondshire And Whitby",E38000069,Yorkshire and Humber,0.966443038,86661.08262,83753.0
Hammersmith And Fulham,E38000070,London,0.806080235,107412.3843,86583.0
Hardwick,E38000071,North Midlands,1.161223708,59611.25276,69222.0
Haringey,E38000072,London,0.660053371,160605.1945,106008.0
Harrogate And Rural District,E38000073,Yorkshire and Humber,0.880012459,94588.43351,83239.0
Harrow,E38000074,London,1.012278236,141849.3403,143591.0
Hartlepool And Stockton-On-Tees,E38000075,Cumbria and North East,1.186671602,165768.6926,196713.0
Hastings And Rother,E38000076,South East,1.092111608,112966.4762,123372.0
Havering,E38000077,London,1.052915749,155726.6098,163967.0
Herefordshire,E38000078,West Midlands,1.035418046,110983.1922,114914.0
Herts Valleys,E38000079,Central Midlands,1.019251747,352595.9126,359384.0
"Heywood, Middleton And Rochdale",E38000080,Greater Manchester,1.254545277,125768.2787,157782.0
High Weald Lewes Havens,E38000081,South East,1.010889224,99912.03547999999,101000.0
Hillingdon,E38000082,London,0.922810769,163596.9204,150969.0
Horsham And Mid Sussex,E38000083,South East,0.864391163,136279.7366,117799.0
Hounslow,E38000084,London,0.8173318470000001,158213.5829,129313.0
Hull,E38000085,Yorkshire and Humber,1.183779374,160887.2432,190455.0
Ipswich And East Suffolk,E38000086,East,1.065045346,234290.4938,249530.0
Isle Of Wight,E38000087,Wessex,1.052888714,87843.09181,92489.0
Islington,E38000088,London,0.7755840190000001,123758.352,95985.0
Kernow,E38000089,South West,1.021531779,338858.768,346155.0
Kingston,E38000090,London,0.872543117,108940.1752,95055.0
Knowsley,E38000091,Cheshire and Merseyside,1.385817695,90213.88632,125020.0
Lambeth,E38000092,London,0.7157172009999999,197640.9115,141455.0
Leeds North,E38000094,Yorkshire and Humber,1.0045862779999999,117958.0117,118499.0
Leeds South And East,E38000095,Yorkshire and Humber,1.110515805,150000.5666,166578.0
Leeds West,E38000096,Yorkshire and Humber,0.97598955,200330.0137,195520.0
Leicester City,E38000097,Central Midlands,1.02433682,205770.2075,210778.0
Lewisham,E38000098,London,0.873214662,166613.098,145489.0
Lincolnshire East,E38000099,Central Midlands,1.2150641290000002,149262.0806,181363.0
Lincolnshire West,E38000100,Central Midlands,1.080192828,135294.3625,146144.0
Liverpool,E38000101,Cheshire and Merseyside,1.119966107,281417.4446,315178.0
Luton,E38000102,Central Midlands,1.196348448,120176.5257,143773.0
Mansfield And Ashfield,E38000103,North Midlands,1.256475489,108232.9112,135992.0
Medway,E38000104,South East,0.984328854,163951.3049,161382.0
Merton,E38000105,London,0.871795902,117246.4791,102215.0
Mid Essex,E38000106,East,1.1175514359999998,221160.2903,247158.0
Milton Keynes,E38000107,Central Midlands,1.123288875,152860.0557,171706.0
Nene,E38000108,Central Midlands,1.126066398,372165.44299999997,419083.0
Newark & Sherwood,E38000109,North Midlands,1.075979767,76979.14267,82828.0
Newbury And District,E38000110,South Central,0.826870793,65799.88128,54408.0
Newham,E38000113,London,0.924605892,188809.0932,174574.0
North & West Reading,E38000114,South Central,0.925402414,61403.557160000004,56823.0
North Derbyshire,E38000115,North Midlands,1.131930005,170736.7056,193262.0
North Durham,E38000116,Cumbria and North East,1.168960863,144577.1243,169005.0
North East Essex,E38000117,East,1.266082568,202954.3779,256957.0
North East Hampshire And Farnham,E38000118,Wessex,0.9959704859999999,126150.3245,125642.0
North East Lincolnshire,E38000119,Yorkshire and Humber,1.1063228790000001,96172.64727,106398.0
North Hampshire,E38000120,Wessex,0.9345655270000001,124959.6702,116783.0
North Kirklees,E38000121,Yorkshire and Humber,1.199174823,104680.3165,125530.0
North Lincolnshire,E38000122,Yorkshire and Humber,1.17214126,98963.32798999999,115999.0
North Norfolk,E38000124,East,1.086852953,108316.4008,117724.0
North Somerset,E38000125,South West,0.980019898,128736.1617,126164.0
North Staffordshire,E38000126,North Midlands,1.142887501,125850.53199999999,143833.0
North Tyneside,E38000127,Cumbria and North East,1.2136320329999999,124501.4929,151099.0
North West Surrey,E38000128,South East,0.992070069,205897.755,204265.0
"Northern, Eastern And Western Devon",E38000129,South West,1.023218991,540557.7932,553109.0
Northumberland,E38000130,Cumbria and North East,1.1569572240000001,191577.5238,221647.0
Nottingham City,E38000132,North Midlands,0.9737566059999999,190622.5835,185620.0
Nottingham North And East,E38000133,North Midlands,1.030942796,87133.83553,89830.0
Nottingham West,E38000134,North Midlands,0.9050853040000001,53987.17642,48863.0
Oldham,E38000135,Greater Manchester,1.359861768,137215.4174,186594.0
Oxfordshire,E38000136,South Central,0.858364087,402244.2287,345272.0
Portsmouth,E38000137,Wessex,1.085468642,121581.5869,131973.0
Redbridge,E38000138,London,1.0098584259999999,163349.6298,164960.0
Redditch And Bromsgrove,E38000139,West Midlands,1.230474725,100011.8064,123062.0
Richmond,E38000140,London,0.8253859170000001,115570.1812,95390.0
Rotherham,E38000141,Yorkshire and Humber,1.235868716,147350.6026,182106.0
Rushcliffe,E38000142,North Midlands,0.8906287509999999,72481.37895,64554.0
Salford,E38000143,Greater Manchester,1.199339215,142297.5234,170663.0
Sandwell And West Birmingham,E38000144,West Midlands,1.0753273079999999,299138.6879,321672.0
Scarborough And Ryedale,E38000145,Yorkshire and Humber,1.180271404,71103.98484,83922.0
Sheffield,E38000146,Yorkshire and Humber,1.103037934,324443.0577,357873.0
Shropshire,E38000147,North Midlands,1.0268514579999999,182909.6102,187821.0
Slough,E38000148,South Central,1.202718692,80005.40827999999,96224.0
Solihull,E38000149,West Midlands,0.989646371,141683.943,140217.0
Somerset,E38000150,South West,0.9697998870000001,336506.5354,326344.0
South Cheshire,E38000151,Cheshire and Merseyside,1.065731231,104227.0291,111078.0
South Devon And Torbay,E38000152,South West,1.068525438,175879.7622,187932.0
South East Staffs And Seisdon Peninsular,E38000153,North Midlands,1.071749955,125113.138,134090.0
South Eastern Hampshire,E38000154,Wessex,0.901938217,125924.3681,113576.0
South Gloucestershire,E38000155,South West,0.9217035109999999,150712.2392,138912.0
South Kent Coast,E38000156,South East,1.134073364,120738.2207,136926.0
South Lincolnshire,E38000157,Central Midlands,1.2118827429999999,97388.13488,118023.0
South Reading,E38000160,South Central,0.9561527479999999,72479.00521,69301.0
South Sefton,E38000161,Cheshire and Merseyside,1.218029335,88121.03032,107334.0
South Tees,E38000162,Cumbria and North East,1.313176776,165036.4246,216722.0
South Tyneside,E38000163,Cumbria and North East,1.20060482,88636.15922,106417.0
South Warwickshire,E38000164,West Midlands,1.024794747,162035.374,166053.0
South West Lincolnshire,E38000165,Central Midlands,1.080719711,77702.84853999999,83975.0
South Worcestershire,E38000166,West Midlands,1.120757521,178655.9503,200230.0
Southampton,E38000167,Wessex,0.9599119890000001,148545.91,142591.0
Southend,E38000168,East,1.133457264,105695.2069,119801.0
Southern Derbyshire,E38000169,North Midlands,0.888130153,306574.4352,272278.0
Southport And Formby,E38000170,Cheshire and Merseyside,1.097750349,75237.50738,82592.0
Southwark,E38000171,London,0.735431365,160920.5231,118346.0
St Helens,E38000172,Cheshire and Merseyside,1.4000818480000001,112242.7236,157149.0
Stafford And Surrounds,E38000173,North Midlands,1.163488713,86070.45247999999,100142.0
Stockport,E38000174,Greater Manchester,1.17351847,175722.8414,206214.0
Stoke On Trent,E38000175,North Midlands,1.173317879,159336.1896,186952.0
Sunderland,E38000176,Cumbria and North East,1.296390233,159911.7262,207308.0
Surrey Downs,E38000177,South East,1.006835458,174817.0455,176012.0
Surrey Heath,E38000178,South East,0.967978518,54205.74838,52470.0
Sutton,E38000179,London,1.06757451,105158.9364,112265.0
Swale,E38000180,South East,1.227558834,62677.24028,76940.0
Swindon,E38000181,South Central,1.01054742,127518.0139,128863.0
Tameside And Glossop,E38000182,Greater Manchester,1.0936565059999999,136584.0181,149376.0
Telford And Wrekin,E38000183,North Midlands,0.986328256,101121.5074,99739.0
Thanet,E38000184,South East,1.120963083,85272.2105,95587.0
Thurrock,E38000185,East,1.1303730029999999,93884.05395,106124.0
